Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C)
9,1003,1063,17774.93861342773,21522.079842104908,,,33370.59789199481,353.6731660997938,0.20859955079792106,2019-08-06,2019-10-29,84 days,,17360.040061576605,21745.55266821142
9,1085,1145,21777.37153878098,27283.374197700854,,,49112.477218650536,441.54671162833654,0.2505785376102764,2019-11-28,2020-02-20,84 days,,21093.932109279278,26402.751884143712
9,1164,1183,26118.349196282925,27658.928514970612,,,13381.218368787902,483.99549940128185,0.056925574805777875,2020-03-18,2020-04-14,27 days,,26411.50946517439,27863.577716106596
9,1205,1213,27238.226387697567,26328.38542385069,,,-8670.668180925823,482.0995063039343,-0.03536968824422274,2020-05-14,2020-05-26,12 days,,26803.524103932123,26649.919232258108
9,1223,1250,27118.973890566278,28341.171680296837,,,10500.638797437261,499.141310137768,0.04302292737431208,2020-06-09,2020-07-16,37 days,,26703.664712884376,28927.83375799977
9,1263,1270,28603.07943157174,28487.384076741477,,,-1555.0723650471828,513.8141715748189,-0.0060408117507745815,2020-08-04,2020-08-13,9 days,,28530.825951782936,28402.407548766634
8,1277,1291,29800.97430642503,29060.273856448934,,,-6396.4935851117525,470.8899853029917,-0.026830052263310963,2020-08-24,2020-09-11,18 days,,28625.79219460169,29360.15713188063
8,1299,1324,30082.511476191103,30722.426816630126,,,4632.883217169619,486.43950634256987,0.01925073319109484,2020-09-23,2020-10-28,35 days,,29573.37887302661,30666.462484334083
8,1337,1351,30719.20728324051,29398.307282536094,,,-11048.140122161542,480.9401165262128,-0.04495615731671678,2020-11-16,2020-12-04,18 days,,30476.31322344371,30764.337139684252
8,1383,1433,29096.851668078205,33871.88504435917,,,37696.517116548246,503.749893699499,0.16194414066928334,2021-01-19,2021-03-30,70 days,,28039.94026623357,33743.77642193381
8,1438,1492,34746.84394696848,40142.77705292962,,,42568.3478796899,599.1169679991848,0.1531374617240735,2021-04-06,2021-06-21,76 days,,34046.52673834209,39700.58123930679
7,1496,1518,43010.70138835864,44809.90513987093,,,11979.682014888398,614.744245697607,0.039789705578883186,2021-06-25,2021-07-27,32 days,,40060.94932627839,44762.98095214408
7,1522,1538,46740.769408130196,45646.28983544572,,,-8308.066423496357,646.7094147050313,-0.02539253518838325,2021-08-02,2021-08-24,22 days,,45067.44438299577,46766.30780439648
7,1553,1567,45287.40329187307,45433.389215514675,,,386.8559179394956,635.0455475517142,0.0012203201578601872,2021-09-14,2021-10-04,20 days,,45406.01886801486,45568.81695337282
8,1614,1674,41345.94815721736,51309.860567778895,,,78970.0528146923,741.2464697999701,0.23874785902360332,2021-12-08,2022-03-02,84 days,,41489.97182052865,50823.99470845873
7,1678,1738,53782.211529098604,58992.95962282519,,,35685.810458022635,789.4261980634665,0.09478920218474901,2022-03-08,2022-05-31,84 days,,51182.2161352542,59193.971623787555
7,1745,1758,60623.98789858081,62755.03197691292,,,14053.655409196315,863.6531391284561,0.0331166775405024,2022-06-09,2022-06-28,19 days,,60019.53074581419,61049.442258532144
7,1759,1781,63887.57200736639,63446.69451558507,,,-3977.4823081299055,891.3398656606603,-0.0088939325826744,2022-06-29,2022-07-29,30 days,,61242.03582927173,65829.1183481846
7,1804,1807,60341.964658341676,59517.0124400573,,,-6613.6783676794485,839.0128396887928,-0.015657614078897392,2022-08-31,2022-09-05,5 days,,61728.186075219826,61341.22993010657
7,1835,1844,58934.17733204973,56592.700079539834,,,-17199.0289094504,808.688141881127,-0.04169064948642817,2022-10-13,2022-10-26,13 days,,57716.248284799876,57781.006474905924
7,1855,1876,58350.8297754646,61787.600223472284,,,23216.424126061247,840.9690099925581,0.05683950049675786,2022-11-10,2022-12-09,29 days,,57491.27020533944,60165.07035723876
7,1878,1886,60302.1555954106,59894.10769981492,,,-3697.7091122363295,841.3738430665786,-0.00875995482541438,2022-12-13,2022-12-23,10 days,,60287.60286587358,60320.36449241322
